id,correct,question,a,b,c,d
E1A01,3,Why is it not legal to transmit a 3 kHz bandwidth USB signal with a carrier frequency of 14.348 MHz?,USB is not used on 20-meter phone,The lower 1 kHz of the signal is outside the 20-meter band,14.348 MHz is outside the 20-meter band,The upper 1 kHz of the signal is outside the 20-meter band
E1A02,3,"When using a transceiver that displays the carrier frequency of phone signals, which of the following displayed frequencies represents the lowest frequency at which a properly adjusted LSB emission will be totally within the band?",The exact lower band edge,300 Hz above the lower band edge,1 kHz above the lower band edge,3 kHz above the lower band edge
E1A03,2,What is the highest legal carrier frequency on the 20-meter band for transmitting a 2.8 kHz wide USB data signal?,14.0708 MHz,14.1002 MHz,14.1472 MHz,14.3490 MHz
E1A04,2,May an Extra class operator answer the CQ of a station on 3.601 MHz LSB phone?,"Yes, the entire signal will be inside the SSB allocation for Extra class operators","Yes, the displayed frequency is within the 75-meter phone band segment","No, the sideband components will extend beyond the edge of the phone band segment","No, US stations are not permitted to use phone emissions below 3.610 MHz"
E1A05,2,Who must be in physical control of the station apparatus of an amateur station aboard any vessel or craft that is documented or registered in the United States?,Only a person with an FCC Marine Radio license grant,Only a person named in an amateur station license grant,Any person holding an FCC issued amateur license or who is authorized for alien reciprocal operation,Any person named in an amateur station license grant or a person holding an unrestricted Radiotelephone Operator Permit
E1A06,1,What is the required transmit frequency of a CW signal for channelized 60 meter operation?,At the lowest frequency of the channel,At the center frequency of the channel,At the highest frequency of the channel,On any frequency where the signal’s sidebands are within the channel
E1A07,2,What is the maximum power permitted on the 2200-meter band?,50 watts PEP (peak envelope power),100 watts PEP (peak envelope power),1 watt EIRP (equivalent isotropic radiated power),5 watts EIRP (equivalent isotropic radiated power)
E1A08,1,"If a station in a message forwarding system inadvertently forwards a message that is in violation of FCC rules, who is primarily accountable for the rules violation?",The control operator of the packet bulletin board station,The control operator of the originating station,The control operators of all the stations in the system,The control operators of all the stations in the system not authenticating the source from which they accept communications
E1A09,3,"Except in some parts of Alaska, what is the maximum power permitted on the 630-meter band?",50 watts PEP (peak envelope power),100 watts PEP (peak envelope power),1 watt EIRP (equivalent isotropic radiated power),5 watts EIRP (equivalent isotropic radiated power)
E1A10,0,"If an amateur station is installed aboard a ship or aircraft, what condition must be met before the station is operated?",Its operation must be approved by the master of the ship or the pilot in command of the aircraft,The amateur station operator must agree not to transmit when the main radio of the ship or aircraft is in use,The amateur station must have a power supply that is completely independent of the main ship or aircraft power supply,The amateur station must operate only in specific segments of the amateur service HF and VHF bands
E1A11,1,What licensing is required when operating an amateur station aboard a US-registered vessel in international waters?,Any amateur license with an FCC Marine or Aircraft endorsement,Any FCC-issued amateur license,Only General class or higher amateur licenses,An unrestricted Radiotelephone Operator Permit
E1B01,3,Which of the following constitutes a spurious emission?,An amateur station transmission made without the proper call sign identification,A signal transmitted to prevent its detection by any station other than the intended recipient,Any transmitted signal that unintentionally interferes with another licensed radio station and whose levels exceed 40 dB below the fundamental power level,An emission outside the signal’s necessary bandwidth that can be reduced or eliminated without affecting the information transmitted
E1B02,0,Which of the following is an acceptable bandwidth for digital voice or slow-scan TV transmissions made on the HF amateur bands?,3 kHz,10 kHz,15 kHz,20 kHz
E1B03,0,Within what distance must an amateur station protect an FCC monitoring facility from harmful interference?,1 mile,3 miles,10 miles,30 miles
E1B04,2,What must the control operator of a repeater operating in the 70-centimeter band do if a radiolocation system experiences interference from that repeater?,Reduce the repeater antenna HAAT (Height Above Average Terrain),"File an FAA NOTAM (Notice to Air Missions) with the repeater system's ERP, call sign, and six-character grid locator",Cease operation or make changes to the repeater that mitigate the interference,All these choices are correct
E1B05,2,What is the National Radio Quiet Zone?,"An area surrounding the FCC monitoring station in Laurel, Maryland",An area in New Mexico surrounding the White Sands Test Area,An area surrounding the National Radio Astronomy Observatory,An area in Florida surrounding Cape Canaveral
E1B06,0,Which of the following additional rules apply if you are erecting an amateur station antenna structure at a site at or near a public use airport?,You may have to notify the Federal Aviation Administration and register it with the FCC as required by Part 17 of the FCC rules,"You may have to enter the height above ground in meters, and the latitude and longitude in degrees, minutes, and seconds on the FAA website",You must file an Environmental Impact Statement with the EPA before construction begins,You must obtain a construction permit from the airport zoning authority per Part 119 of the FAA regulations
E1B07,2,To what type of regulations does PRB-1 apply?,Homeowners associations,FAA tower height limits,State and local zoning,Use of wireless devices in vehicles
E1B08,3,"What limitations may the FCC place on an amateur station if its signal causes interference to domestic broadcast reception, assuming that the receivers involved are of good engineering design?",The amateur station must cease operation,The amateur station must cease operation on all frequencies below 30 MHz,The amateur station must cease operation on all frequencies above 30 MHz,The amateur station must avoid transmitting during certain hours on frequencies that cause the interference
E1B09,2,Which amateur stations may be operated under RACES rules?,Only those club stations licensed to Amateur Extra class operators,Any FCC-licensed amateur station except a Technician class,Any FCC-licensed amateur station certified by the responsible civil defense organization for the area served,Only stations meeting the FCC Part 97 technical standards for operation during an emergency
E1B10,0,What frequencies are authorized to an amateur station operating under RACES rules?,All amateur service frequencies authorized to the control operator,"Specific segments in the amateur service MF, HF, VHF, and UHF bands",Specific local government channels,All these choices are correct
E1B11,1,What does PRB-1 require of state and local regulations affecting amateur radio antenna size and structures?,No limitations may be placed on antenna size or placement,Reasonable accommodations of amateur radio must be made,Such structures must be permitted when use for emergency communications can be demonstrated,Such structures must be permitted if certified by a registered professional engineer
E1C01,3,What is the maximum bandwidth for a data emission on 60 meters?,60 Hz,170 Hz,1.5 kHz,2.8 kHz
E1C02,2,Which of the following apply to communications transmitted to amateur stations in foreign countries?,Third party traffic must be limited to that intended for the exclusive use of government and non-Government Organization (NGOs) involved in emergency relief activities,All transmissions must be in English,Communications must be limited to those incidental to the purpose of the amateur service and remarks of a personal nature,All these choices are correct
E1C03,1,How long must an operator wait after filing a notification with the Utilities Technology Council (UTC) before operating on the 2200-meter or 630-meter band?,Operators must not operate until approval is received,"Operators may operate after 30 days, providing they have not been told that their station is within 1 kilometer of PLC systems using those frequencies",Operators may not operate until a test signal has been transmitted in coordination with the local power company,"Operations may commence immediately, and may continue unless interference is reported by the UTC"
E1C04,0,What is an IARP?,A permit that allows US amateurs to operate in certain countries of the Americas,The internal amateur radio practices policy of the FCC,An indication of increased antenna reflected power,A forecast of intermittent aurora radio propagation
E1C05,1,Under what situation may a station transmit third party communications while being automatically controlled?,Never,Only when transmitting RTTY or data emissions,Only when transmitting SSB or CW,On any mode approved by the National Telecommunication and Information Administration
E1C06,2,Which of the following is required in order to operate in accordance with CEPT rules in foreign countries where permitted?,You must identify in the official language of the country in which you are operating,The US embassy must approve of your operation,You must have a copy of FCC Public Notice DA 16-1048,"You must append ""/CEPT"" to your call sign"
E1C07,3,What notifications must be given before transmitting on the 630- or 2200-meter bands?,A special endorsement must be requested from the FCC,An environmental impact statement must be filed with the Department of the Interior,"Operators must inform the FAA of their intent to operate, giving their call sign and distance to the nearest runway",Operators must inform the Utilities Technology Council (UTC) of their call sign and coordinates of the station
E1C08,1,What is the maximum permissible duration of a remotely controlled station’s transmissions if its control link malfunctions?,30 seconds,3 minutes,5 minutes,10 minutes
E1C09,1,What is the highest modulation index permitted at the highest modulation frequency for angle modulation below 29.0 MHz?,0.5,1.0,2.0,3.0
E1C10,0,What is the maximum mean power level for a spurious emission below 30 MHz with respect to the fundamental emission?,- 43 dB,- 53 dB,- 63 dB,- 73 dB
E1C11,0,"Which of the following operating arrangements allows an FCC-licensed US citizen to operate in many European countries, and amateurs from many European countries to operate in the US?",CEPT,IARP,ITU reciprocal license,All these choices are correct
E1C12,3,In what portion of the 630-meter band are phone emissions permitted?,None,Only the top 3 kHz,Only the bottom 3 kHz,The entire band
E1D01,0,What is the definition of telemetry?,One-way transmission of measurements at a distance from the measuring instrument,Two-way transmissions in excess of 1000 feet,Two-way transmissions of data,"One-way transmission that initiates, modifies, or terminates the functions of a device at a distance"
E1D02,1,Which of the following may transmit encrypted messages?,Telecommand signals to terrestrial repeaters,Telecommand signals from a space telecommand station,Auxiliary relay links carrying repeater audio,Mesh network backbone nodes
E1D03,1,What is a space telecommand station?,An amateur station located on the surface of the Earth for communication with other Earth stations by means of Earth satellites,"An amateur station that transmits communications to initiate, modify, or terminate functions of a space station",An amateur station located in a satellite or a balloon more than 50 kilometers above the surface of the Earth,An amateur station that receives telemetry from a satellite or balloon more than 50 kilometers above the surface of the Earth
E1D04,0,Which of the following is required in the identification transmissions from a balloon-borne telemetry station?,Call sign,The output power of the balloon transmitter,The station's six-character Maidenhead grid locator,All these choices are correct
E1D05,3,What must be posted at the location of a station being operated by telecommand on or within 50 kilometers of the Earth’s surface?,A photocopy of the station license,"A label with the name, address, and telephone number of the station licensee","A label with the name, address, and telephone number of the control operator",All these choices are correct
E1D06,0,What is the maximum permitted transmitter output power when operating a model craft by telecommand?,1 watt,2 watts,5 watts,100 watts
E1D07,0,Which group of HF amateur bands include allocations for space stations?,"40 meters, 20 meters, 15 meters, and 10 meters","30 meters, 17 meters, and 10 meters",Only 10 meters,Satellite operation is permitted on all HF bands
E1D08,3,Which VHF amateur bands have frequencies authorized for space stations?,6 meters and 2 meters,"6 meters, 2 meters, and 1.25 meters",2 meters and 1.25 meters,2 meters
E1D09,1,Which UHF amateur bands have frequencies authorized for space stations?,70 centimeters only,70 centimeters and 13 centimeters,70 centimeters and 33 centimeters,33 centimeters and 13 centimeters
E1D10,1,"Which amateur stations are eligible to be telecommand stations of space stations, subject to the privileges of the class of operator license held by the control operator of the station?",Any amateur station approved by AMSAT,Any amateur station so designated by the space station licensee,Any amateur station so designated by the ITU,All these choices are correct
E1D11,3,Which amateur stations are eligible to operate as Earth stations?,Any amateur licensee who has successfully completed the AMSAT space communications course,"Only those of General, Advanced or Amateur Extra class operators",Only those of Amateur Extra class operators,"Any amateur station, subject to the privileges of the class of operator license held by the control operator"
E1D12,0,Which of the following amateur stations may transmit one-way communications?,"A space station, beacon station, or telecommand station",A local repeater or linked repeater station,A message forwarding station or automatically controlled digital station,All these choices are correct
E1E01,0,For which types of out-of-pocket expenses do the Part 97 rules state that VEs and VECs may be reimbursed?,"Preparing, processing, administering, and coordinating an examination for an amateur radio operator license",Teaching an amateur operator license examination preparation course,No expenses are authorized for reimbursement,Providing amateur operator license examination preparation training materials
E1E02,2,Who is tasked by Part 97 with maintaining the pools of questions for all US amateur license examinations?,The VEs,The FCC,The VECs,The ARRL
E1E03,2,What is a Volunteer Examiner Coordinator?,A person who has volunteered to administer amateur operator license examinations,An organization paid by the volunteer examiner team to publicize and schedule examinations,"An organization that has entered into an agreement with the FCC to coordinate, prepare, and administer amateur operator license examinations",The person who has entered into an agreement with the FCC to be the VE session manager
E1E04,3,What is required to be accredited as a Volunteer Examiner?,"Each General, Advanced and Amateur Extra class operator is automatically accredited as a VE when the license is granted",The amateur operator applying must pass a VE examination administered by the FCC Enforcement Bureau,The prospective VE must obtain accreditation from the FCC,A VEC must confirm that the VE applicant meets FCC requirements to serve as an examiner
E1E05,1,What must the VE team do with the application form if the examinee does not pass the exam?,Maintain the application form with the VEC’s records,Return the application document to the examinee,Send the application form to the FCC and inform the FCC of the grade,Destroy the application form
E1E06,2,Who is responsible for the proper conduct and necessary supervision during an amateur operator license examination session?,The VEC coordinating the session,The designated monitoring VE,Each administering VE,Only the VE session manager
E1E07,1,What should a VE do if a candidate fails to comply with the examiner’s instructions during an amateur operator license examination?,Warn the candidate that continued failure to comply will result in termination of the examination,Immediately terminate the candidate’s examination,"Allow the candidate to complete the examination, but invalidate the results",Immediately terminate everyone’s examination and close the session
E1E08,2,To which of the following examinees may a VE not administer an examination?,Employees of the VE,Friends of the VE,Relatives of the VE as listed in the FCC rules,All these choices are correct
E1E09,0,What may be the penalty for a VE who fraudulently administers or certifies an examination?,Revocation of the VE’s amateur station license grant and the suspension of the VE’s amateur operator license grant,"A fine of up to $1,000 per occurrence",A sentence of up to one year in prison,All these choices are correct
E1E10,2,What must the administering VEs do after the administration of a successful examination for an amateur operator license?,They must collect and send the documents directly to the FCC,They must collect and submit the documents to the coordinating VEC for grading,They must submit the application document to the coordinating VEC according to the coordinating VEC instructions,They must return the documents to the applicant for submission to the FCC according to the FCC instructions
E1E11,1,What must the VE team do if an examinee scores a passing grade on all examination elements needed for an upgrade or new license?,Photocopy all examination documents and forward them to the FCC for processing,Three VEs must certify that the examinee is qualified for the license grant and that they have complied with the administering VE requirements,Issue the examinee the new or upgrade license,All these choices are correct
E1F01,1,On what frequencies are spread spectrum transmissions permitted?,Only on amateur frequencies above 50 MHz,Only on amateur frequencies above 222 MHz,Only on amateur frequencies above 420 MHz,Only on amateur frequencies above 144 MHz
E1F02,2,What privileges are authorized in the US to persons holding an amateur service license granted by the government of Canada?,"None, they must obtain a US license","Full privileges of the General class license on the 80-, 40-, 20-, 15-, and 10-meter bands","The operating terms and conditions of the Canadian amateur service license, not to exceed US Amateur Extra class license privileges","Full privileges, up to and including those of the Amateur Extra class license, on the 80-, 40-, 20-, 15-, and 10-meter bands"
E1F03,3,Under what circumstances may a dealer sell an external RF power amplifier capable of operation below 144 MHz if it has not been granted FCC certification?,Gain is less than 23 dB when driven by power of 10 watts or less,The equipment dealer assembled it from a kit,It was manufactured and certificated in a country which has a reciprocal certification agreement with the FCC,It was purchased in used condition from an amateur operator and is sold to another amateur operator for use at that operator’s station
E1F04,0,"Which of the following geographic descriptions approximately describes ""Line A""?",A line roughly parallel to and south of the border between the US and Canada,A line roughly parallel to and west of the US Atlantic coastline,A line roughly parallel to and north of the border between the US and Mexico,A line roughly parallel to and east of the US Pacific coastline
E1F05,3,Amateur stations may not transmit in which of the following frequency segments if they are located in the contiguous 48 states and north of Line A?,440 MHz - 450 MHz,53 MHz - 54 MHz,222 MHz - 223 MHz,420 MHz - 430 MHz
E1F06,0,Under what circumstances might the FCC issue a Special Temporary Authority (STA) to an amateur station?,To provide for experimental amateur communications,To allow use of a special event call sign,"To allow a VE group with less than three VEs to administer examinations in a remote, sparsely populated area",To allow a licensee who has passed an upgrade exam to operate with upgraded privileges while waiting for posting on the FCC database
E1F07,3,When may an amateur station send a message to a business?,When the pecuniary interest of the amateur or his or her employer is less than $25,When the pecuniary interest of the amateur or his or her employer is less than $50,At no time,When neither the amateur nor their employer has a pecuniary interest in the communications
E1F08,0,Which of the following types of amateur station communications are prohibited?,"Communications transmitted for hire or material compensation, except as otherwise provided in the rules","Communications that have political content, except as allowed by the Fairness Doctrine",Communications that have religious content,Communications in a language other than English
E1F09,2,Which of the following cannot be transmitted over an amateur radio mesh network?,Third party traffic,Email,Messages encoded to obscure their meaning,All these choices are correct
E1F10,1,Who may be the control operator of an auxiliary station?,Any licensed amateur operator,"Only Technician, General, Advanced, or Amateur Extra class operators","Only General, Advanced, or Amateur Extra class operators",Only Amateur Extra class operators
