id,correct,question,a,b,c,d
G1A01,2,On which HF and/or MF amateur bands are there portions where General class licensees cannot transmit?,"60 meters, 30 meters, 17 meters, and 12 meters","160 meters, 60 meters, 15 meters, and 12 meters","80 meters, 40 meters, 20 meters, and 15 meters","80 meters, 20 meters, 15 meters, and 10 meters"
G1A02,1,On which of the following bands is phone operation prohibited?,160 meters,30 meters,17 meters,12 meters
G1A03,1,On which of the following bands is image transmission prohibited?,160 meters,30 meters,20 meters,12 meters
G1A04,3,"Which of the following amateur bands is restricted to communication only on specific channels, rather than frequency ranges?",11 meters,12 meters,30 meters,60 meters
G1A05,0,On which of the following frequencies are General class licensees prohibited from operating as control operator?,7.125 MHz to 7.175 MHz,28.000 MHz to 28.025 MHz,21.275 MHz to 21.300 MHz,All of the above
G1A06,2,Which of the following applies when the FCC rules designate the amateur service as a secondary user on a band?,Amateur stations must record the call sign of the primary service station before operating on a frequency assigned to that station,Amateur stations may use the band only during emergencies,Amateur stations must not cause harmful interference to primary users and must accept interference from primary users,"Amateur stations may only operate during specific hours of the day, while primary users are permitted 24-hour use of the band"
G1A07,3,On which amateur frequencies in the 10-meter band may stations with a General class control operator transmit CW emissions?,28.000 MHz to 28.025 MHz only,28.000 MHz to 28.300 MHz only,28.025 MHz to 28.300 MHz only,The entire band
G1A08,1,Which HF bands have segments exclusively allocated to Amateur Extra licensees?,All HF bands,"80 meters, 40 meters, 20 meters, and 15 meters",All HF bands except 160 meters and 10 meters,"60 meters, 30 meters, 17 meters, and 12 meters"
G1A09,2,Which of the following frequencies is within the General class portion of the 15-meter band?,14250 kHz,18155 kHz,21300 kHz,24900 kHz
G1A10,3,What portion of the 10-meter band is available for repeater use?,The entire band,The portion between 28.1 MHz and 28.2 MHz,The portion between 28.3 MHz and 28.5 MHz,The portion above 29.5 MHz
G1A11,1,"When General class licensees are not permitted to use the entire voice portion of a band, which portion of the voice segment is available to them?",The lower frequency portion,The upper frequency portion,"The lower frequency portion on frequencies below 7.3 MHz, and the upper portion on frequencies above 14.150 MHz","The upper frequency portion on frequencies below 7.3 MHz, and the lower portion on frequencies above 14.150 MHz"
G1B01,2,What is the maximum height above ground for an antenna structure not near a public use airport without requiring notification to the FAA and registration with the FCC?,50 feet,100 feet,200 feet,250 feet
G1B02,0,With which of the following conditions must beacon stations comply?,No more than one beacon station may transmit in the same band from the same station location,The frequency must be coordinated with the National Beacon Organization,The frequency must be posted on the internet or published in a national periodical,All these choices are correct
G1B03,0,Which of the following is a purpose of a beacon station as identified in the FCC rules?,Observation of propagation and reception,Automatic identification of repeaters,Transmission of bulletins of general interest to amateur radio licensees,All these choices are correct
G1B04,2,Which of the following transmissions is permitted for all amateur stations?,Unidentified transmissions of less than 10 seconds duration for test purposes only,Automatic retransmission of other amateur signals by any amateur station,Occasional retransmission of weather and propagation forecast information from US government stations,"Encrypted messages, if not intended to facilitate a criminal act"
G1B05,1,Which of the following one-way transmissions are permitted?,Unidentified test transmissions of less than 10 seconds in duration,Transmissions to assist with learning the International Morse code,"Regular transmissions offering equipment for sale, if intended for amateur radio use",All these choices are correct
G1B06,3,Under what conditions are state and local governments permitted to regulate amateur radio antenna structures?,"Under no circumstances, FCC rules take priority","At any time and to any extent necessary to accomplish a legitimate purpose of the state or local entity, provided that proper filings are made with the FCC","Only when such structures exceed 50 feet in height and are clearly visible 1,000 feet from the structure","Amateur Service communications must be reasonably accommodated, and regulations must constitute the minimum practical to accommodate a legitimate purpose of the state or local entity"
G1B07,1,What are the restrictions on the use of abbreviations or procedural signals in the amateur service?,Only “Q” signals are permitted,They may be used if they do not obscure the meaning of a message,They are not permitted,They are limited to those expressly listed in Part 97 of the FCC rules
G1B08,1,When is it permissible to communicate with amateur stations in countries outside the areas administered by the Federal Communications Commission?,Only when the foreign country has a formal third-party agreement filed with the FCC,When the contact is with amateurs in any country except those whose administrations have notified the ITU that they object to such communications,"Only when the contact is with amateurs licensed by a country which is a member of the United Nations, or by a territory possessed by such a country","Only when the contact is with amateurs licensed by a country which is a member of the International Amateur Radio Union, or by a territory possessed by such a country"
