id,correct,question,a,b,c,d
T1A01,2,Which of the following is a purpose of the Amateur Radio Service as stated in the FCC rules and regulations?,Providing personal radio communications for as many citizens as possible,Providing communications for international non-profit organizations,Advancing skills in the technical and communication phases of the radio art,All of these choices are correct
T1A02,2,Which agency regulates and enforces the rules for the Amateur Radio Service in the United States?,FEMA,Homeland Security,The FCC,All of these choices are correct
T1A03,3,What are the FCC rules regarding the use of a phonetic alphabet for station identification in the Amateur Radio Service?,It is required when transmitting emergency messages,It is prohibited,It is required when in contact with foreign stations,It is encouraged
T1A04,0,How many operator/primary station license grants may be held by any one person?,One,No more than two,One for each band on which the person plans to operate,One for each permanent station location from which the person plans to operate
T1A05,2,What is proof of possession of an FCC-issued operator/primary license grant?,A printed operator/primary station license issued by the FCC must be displayed at the transmitter site,The control operator must have an operator/primary station license in his or her possession when in control of a transmitter,The control operator's operator/primary station license must appear in the FCC ULS consolidated licensee database,All of these choices are correct
T1A06,2,What is the FCC Part 97 definition of a beacon?,A government transmitter marking the amateur radio band edges,A bulletin sent by the FCC to announce a national emergency,An amateur station transmitting communications for the purposes of observing propagation or related experimental activities,A continuous transmission of weather information authorized in the amateur bands by the National Weather Service
T1A07,2,What is the FCC Part 97 definition of a space station?,Any satellite orbiting the earth,A manned satellite orbiting the earth,An amateur station located more than 50 km above the Earth's surface,An amateur station using amateur radio satellites for relay of signals
T1A08,1,Which of the following entities recommends transmit/receive channels and other parameters for auxiliary and repeater stations?,Frequency Spectrum Manager appointed by the FCC,Volunteer Frequency Coordinator recognized by local amateurs,FCC Regional Field Office,International Telecommunications Union
T1A09,2,Who selects a Frequency Coordinator?,The FCC Office of Spectrum Management and Coordination Policy,The local chapter of the Office of National Council of Independent Frequency Coordinators,Amateur operators in a local or regional area whose stations are eligible to be repeater or auxiliary stations,FCC Regional Field Office
T1A10,3,Which of the following describes the Radio Amateur Civil Emergency Service (RACES)?,A radio service using amateur frequencies for emergency management or civil defense communications,A radio service using amateur stations for emergency management or civil defense communications,An emergency service using amateur operators certified by a civil defense organization as being enrolled in that organization,All of these choices are correct
