id,correct,question,a,b,c,d
T1A01,2,Which of the following is part of the Basis and Purpose of the Amateur Radio Service?,Providing personal radio communications for as many citizens as possible,Providing communications for international non-profit organizations,Advancing skills in the technical and communication phases of the radio art,All these choices are correct
T1A02,2,Which agency regulates and enforces the rules for the Amateur Radio Service in the United States?,FEMA,Homeland Security,The FCC,All these choices are correct
T1A03,1,What do the FCC rules state regarding the use of a phonetic alphabet for station identification in the Amateur Radio Service?,It is required when transmitting emergency messages,It is encouraged,It is required when in contact with foreign stations,All these choices are correct
T1A04,0,How many operator/primary station license grants may be held by any one person?,One,No more than two,One for each band on which the person plans to operate,One for each permanent station location from which the person plans to operate
T1A05,2,What proves that the FCC has issued an operator/primary license grant?,A printed copy of the certificate of successful completion of examination,An email notification from the NCVEC granting the license,The license appears in the FCC ULS database,All these choices are correct
T1A06,3,What is the FCC Part 97 definition of a beacon?,A government transmitter marking the amateur radio band edges,A bulletin sent by the FCC to announce a national emergency,A continuous transmission of weather information authorized in the amateur bands by the National Weather Service,An amateur station transmitting communications for the purposes of observing propagation or related experimental activities
T1A07,2,What is the FCC Part 97 definition of a space station?,Any satellite orbiting Earth,A manned satellite orbiting Earth,An amateur station located more than 50 km above Earth's surface,An amateur station using amateur radio satellites for relay of signals
T1A08,1,Which of the following entities recommends transmit/receive channels and other parameters for auxiliary and repeater stations?,Frequency Spectrum Manager appointed by the FCC,Volunteer Frequency Coordinator recognized by local amateurs,FCC Regional Field Office,International Telecommunication Union
T1A09,2,Who selects a Frequency Coordinator?,The FCC Office of Spectrum Management and Coordination Policy,The local chapter of the Office of National Council of Independent Frequency Coordinators,Amateur operators in a local or regional area whose stations are eligible to be repeater or auxiliary stations,FCC Regional Field Office
T1A10,3,What is the Radio Amateur Civil Emergency Service (RACES)?,A radio service using amateur frequencies for emergency management or civil defense communications,A radio service using amateur stations for emergency management or civil defense communications,An emergency service using amateur operators certified by a civil defense organization as being enrolled in that organization,All these choices are correct
T1A11,1,When is willful interference to other amateur radio stations permitted?,To stop another amateur station that is breaking the FCC rules,At no time,When making short test transmissions,"At any time, stations in the Amateur Radio Service are not protected from willful interference"
T1B01,2,Which of the following frequency ranges are available for phone operation by Technician licensees?,28.050 MHz to 28.150 MHz,28.100 MHz to 28.300 MHz,28.300 MHz to 28.500 MHz,28.500 MHz to 28.600 MHz
T1B02,1,Which amateurs may contact the International Space Station (ISS) on VHF bands?,Any amateur holding a General class or higher license,Any amateur holding a Technician class or higher license,Any amateur holding a General class or higher license who has applied for and received approval from NASA,Any amateur holding a Technician class or higher license who has applied for and received approval from NASA
T1B03,1,Which frequency is in the 6 meter amateur band?,49.00 MHz,52.525 MHz,28.50 MHz,222.15 MHz
T1B04,3,Which amateur band includes 146.52 MHz?,6 meters,20 meters,70 centimeters,2 meters
T1B05,3,How may amateurs use the 219 to 220 MHz segment of 1.25 meter band?,Spread spectrum only,Fast-scan television only,Emergency traffic only,Fixed digital message forwarding systems only
T1B06,1,On which HF bands does a Technician class operator have phone privileges?,None,10 meter band only,"80 meter, 40 meter, 15 meter, and 10 meter bands",30 meter band only
T1B07,0,Which of the following VHF/UHF band segments are limited to CW only?,50.0 MHz to 50.1 MHz and 144.0 MHz to 144.1 MHz,219 MHz to 220 MHz and 420.0 MHz to 420.1 MHz,902.0 MHz to 902.1 MHz,All these choices are correct
T1B08,0,How are US amateurs restricted in segments of bands where the Amateur Radio Service is secondary?,"U.S. amateurs may find non-amateur stations in those segments, and must avoid interfering with them",U.S. amateurs must give foreign amateur stations priority in those segments,International communications are not permitted in those segments,Digital transmissions are not permitted in those segments
T1B09,3,Why should you not set your transmit frequency to be exactly at the edge of an amateur band or sub-band?,To allow for calibration error in the transmitter frequency display,So that modulation sidebands do not extend beyond the band edge,To allow for transmitter frequency drift,All these choices are correct
T1B10,2,Where may SSB phone be used in amateur bands above 50 MHz?,Only in sub-bands allocated to General class or higher licensees,Only on repeaters,In at least some segment of all these bands,On any band if the power is limited to 25 watts
T1B11,0,What is the maximum peak envelope power output for Technician class operators in their HF band segments?,200 watts,100 watts,50 watts,10 watts
T1B12,3,"Except for some specific restrictions, what is the maximum peak envelope power output for Technician class operators using frequencies above 30 MHz?",50 watts,100 watts,500 watts,1500 watts
T1C01,3,For which license classes are new licenses currently available from the FCC?,"Novice, Technician, General, Amateur Extra","Technician, Technician Plus, General, Amateur Extra","Novice, Technician Plus, General, Advanced","Technician, General, Amateur Extra"
T1C02,3,Who may select a desired call sign under the vanity call sign rules?,Only a licensed amateur with a General or Amateur Extra Class license,Only a licensed amateur with an Amateur Extra Class license,Only a licensed amateur who has been licensed continuously for more than 10 years,Any licensed amateur
T1C03,0,What types of international communications are an FCC-licensed amateur radio station permitted to make?,Communications incidental to the purposes of the Amateur Radio Service and remarks of a personal character,Communications incidental to conducting business or remarks of a personal nature,Only communications incidental to contest exchanges; all other communications are prohibited,Any communications that would be permitted by an international broadcast station
T1C04,1,What may happen if the FCC is unable to reach you by email?,Fine and suspension of operator license,Revocation of the station license or suspension of the operator license,Revocation of access to the license record in the FCC system,Nothing; there is no such requirement
T1C05,0,Which of the following is a valid Technician class call sign format?,KF1XXX,KA1X,W1XX,All these choices are correct
T1C06,3,From which of the following locations may an FCC-licensed amateur station transmit?,From within any country that belongs to the International Telecommunication Union,From within any country that is a member of the United Nations,From anywhere within International Telecommunication Union (ITU) Regions 2 and 3,From any vessel or craft located in international waters and documented or registered in the United States
